date,segment_id,conflict,fatalities,injuries,event_type,source,troop_movements,exercises,drone_activity,landmine_incidents,checkpoint_closures,article_count,sentiment_score,keyword_border,keyword_temple,trade_value,truck_crossings,migrant_flow,market_closures,displaced_persons,civilian_casualties,aid_deliveries,conflict_lag1,conflict_lag2,conflict_lag4,sentiment_score_lag1,sentiment_score_lag2,sentiment_score_lag4,troop_movements_lag1,troop_movements_lag2,troop_movements_lag4,trade_value_lag1,trade_value_lag2,trade_value_lag4
2024-02-04,PREAH_VIHEAR_TEMPLE,0,0,0,border_incident,none,8,0,3,0,1,2,0.7261070308924263,0,0,106.1038782664612,47,7,0,2,0,1,0.0,0.0,1.0,-0.1347523536921379,1.7903688125498085,0.9079702975440738,6.0,3.0,7.0,108.10568886836796,87.3357951897687,105.74966921206178
2024-02-04,TA_MUEN_THOM_TEMPLE,0,1,0,none,ngo,7,2,1,0,0,1,0.6020942596046785,0,0,107.35539057801364,56,8,0,1,0,2,0.0,0.0,0.0,0.7784290530727492,0.2103875335779107,1.1281539096944009,4.0,4.0,5.0,78.60652747646375,153.08531964611674,57.12046133759137
2024-02-04,TA_KRABEY_TEMPLE,0,0,1,border_incident,ngo,4,4,2,0,0,2,-0.1593791098879629,0,0,76.92371787840955,52,9,0,5,0,0,0.0,1.0,0.0,-1.0936983612979767,-0.1134688309513627,0.6499070429021149,6.0,4.0,2.0,67.94306395514482,87.7855945155124,113.10090378120124
2024-02-04,OSMACH_CHECKPOINT,1,0,1,artillery,military_report,1,0,3,0,0,6,0.8234946401708941,0,0,121.76753666645963,46,10,0,2,0,1,1.0,0.0,0.0,2.100950585558628,-0.8747050241506572,0.258775080868511,6.0,3.0,5.0,99.72208402765992,99.30412584881302,79.44685535690576
2024-02-04,CHONG_CHOM_CHECKPOINT,0,0,0,border_incident,local_news,3,3,2,0,0,2,-1.4869039331317857,0,1,106.71772215458388,51,11,0,4,0,1,1.0,0.0,0.0,-0.8933695870729601,-1.8227274999167296,-1.2543441221110103,8.0,4.0,4.0,96.35287815506992,106.21688698372218,124.16540536415768
2024-02-04,ARANYAPRATHET_POIPET,0,0,0,artillery,local_news,6,2,4,0,0,0,0.0801916265351272,0,0,107.10437014994052,64,9,0,2,0,2,1.0,1.0,0.0,0.2860559467695071,-2.419498603907605,0.3109143765021805,4.0,4.0,2.0,86.22530857998215,71.96419010505845,104.30018234343784
2024-02-04,PHANOM_DONG_RAK_RIDGE,0,0,0,none,ngo,6,0,0,3,0,1,0.6027137307901973,1,1,104.8416132741925,57,8,0,0,0,0,1.0,0.0,0.0,-0.6175944934157797,0.8516177168229447,1.0691192698682606,7.0,6.0,4.0,120.59199562896283,95.54985788199475,67.2916700974709
2024-02-04,BAN_KRUAT,0,0,0,artillery,ngo,9,1,1,1,0,4,1.226319358638024,0,0,79.91817349364122,58,8,1,3,0,0,0.0,0.0,0.0,0.1713804312364954,-0.3831066937101833,0.9224624434375274,2.0,5.0,4.0,88.29898358857045,100.3291239669469,127.77074284999313
2024-02-04,KANTHARALAK,0,0,0,artillery,military_report,5,7,1,0,0,7,-0.1935664095828169,0,0,93.0664595173255,40,11,0,9,0,2,0.0,0.0,0.0,0.1429472991988604,-0.5042900601059164,0.4700515990707673,4.0,2.0,3.0,100.5945870362426,124.5521532759978,116.71480614437738
2024-02-04,SAMRAONG,0,0,0,border_incident,ngo,3,1,4,0,0,1,-1.210330782797174,0,0,144.7089371315274,41,9,0,1,0,2,1.0,0.0,0.0,-1.9203220805424632,-0.1111254842585542,-0.0589869512206992,4.0,7.0,6.0,112.4449185653124,102.48707743620128,112.77552147528772
2024-02-11,PREAH_VIHEAR_TEMPLE,0,0,0,artillery,ngo,3,0,1,0,0,2,-0.4668702107323945,0,0,104.74558085986622,40,10,0,3,0,2,0.0,0.0,0.0,0.7261070308924263,-0.1347523536921379,0.4542105716180286,8.0,6.0,7.0,106.1038782664612,108.10568886836796,85.8178500925217
2024-02-11,TA_MUEN_THOM_TEMPLE,0,0,0,border_incident,ngo,6,1,3,0,0,7,-0.4366312077923179,0,0,99.2047346174768,53,5,1,6,0,0,0.0,0.0,0.0,0.6020942596046785,0.7784290530727492,-0.6552368240548481,7.0,4.0,5.0,107.35539057801364,78.60652747646375,121.32679503295506
2024-02-11,TA_KRABEY_TEMPLE,0,0,0,skirmish,none,4,1,2,0,0,3,0.740767915230124,0,0,89.99370627883096,45,7,0,1,1,1,0.0,0.0,1.0,-0.1593791098879629,-1.0936983612979767,0.3269985510247916,4.0,6.0,5.0,76.92371787840955,67.94306395514482,64.81318750566984
2024-02-11,OSMACH_CHECKPOINT,1,0,0,border_incident,ngo,6,0,1,0,0,6,-0.1462861662059442,0,0,92.51827105552432,50,6,0,1,0,1,1.0,1.0,0.0,0.8234946401708941,2.100950585558628,0.1185845550551706,1.0,6.0,7.0,121.76753666645963,99.72208402765992,88.96477009914882
2024-02-11,CHONG_CHOM_CHECKPOINT,0,0,0,artillery,ngo,8,0,3,0,0,3,0.385022246828967,0,0,87.30799648726527,35,8,0,4,1,2,0.0,1.0,0.0,-1.4869039331317857,-0.8933695870729601,-1.665215894361857,3.0,8.0,5.0,106.71772215458388,96.35287815506992,69.64474174672343
2024-02-11,ARANYAPRATHET_POIPET,0,0,0,skirmish,ngo,5,0,2,0,0,4,-0.5362638864418516,1,1,127.50315446389376,55,7,0,3,0,3,0.0,1.0,0.0,0.0801916265351272,0.2860559467695071,-1.212025837586764,6.0,4.0,4.0,107.10437014994052,86.22530857998215,108.93397936933935
2024-02-11,PHANOM_DONG_RAK_RIDGE,0,0,0,skirmish,none,8,0,1,0,0,1,0.4879627119355996,0,0,109.37023520522824,51,8,0,5,1,0,0.0,1.0,0.0,0.6027137307901973,-0.6175944934157797,1.4527109626838492,6.0,7.0,4.0,104.8416132741925,120.59199562896283,124.08541670583504
2024-02-11,BAN_KRUAT,0,0,0,none,none,6,2,0,1,0,7,-0.6283172134774472,0,0,70.32494656008515,43,12,0,2,0,3,0.0,0.0,0.0,1.226319358638024,0.1713804312364954,0.7228401196466,9.0,2.0,8.0,79.91817349364122,88.29898358857045,94.3662805692959
2024-02-11,KANTHARALAK,0,0,1,artillery,ngo,4,0,3,1,0,7,0.3291109888575,0,0,75.35295001110175,57,11,0,1,0,0,0.0,0.0,0.0,-0.1935664095828169,0.1429472991988604,0.4650529397260339,5.0,4.0,3.0,93.0664595173255,100.5945870362426,117.63616767098397
2024-02-11,SAMRAONG,0,0,0,skirmish,military_report,4,1,1,1,0,4,0.1562549167730053,1,0,94.7937476068372,55,5,0,5,1,2,0.0,1.0,0.0,-1.210330782797174,-1.9203220805424632,1.896071582119703,3.0,4.0,1.0,144.7089371315274,112.4449185653124,108.74937269048382
2024-02-18,PREAH_VIHEAR_TEMPLE,0,0,0,none,military_report,3,0,2,2,0,3,-0.5767609886466654,0,0,102.5192617230088,52,10,0,3,0,1,0.0,0.0,0.0,-0.4668702107323945,0.7261070308924263,1.7903688125498085,3.0,8.0,3.0,104.74558085986622,106.1038782664612,87.3357951897687
2024-02-18,TA_MUEN_THOM_TEMPLE,1,0,0,artillery,none,4,0,2,0,0,6,-0.9494869750863406,0,0,78.25792433958371,64,1,1,1,0,1,0.0,0.0,0.0,-0.4366312077923179,0.6020942596046785,0.2103875335779107,6.0,7.0,4.0,99.2047346174768,107.35539057801364,153.08531964611674
2024-02-18,TA_KRABEY_TEMPLE,0,0,0,skirmish,local_news,3,0,1,0,0,2,0.4668521414351775,0,0,92.05957888310697,52,11,0,6,1,2,0.0,0.0,1.0,0.740767915230124,-0.1593791098879629,-0.1134688309513627,4.0,4.0,4.0,89.99370627883096,76.92371787840955,87.7855945155124
2024-02-18,OSMACH_CHECKPOINT,0,0,0,skirmish,none,6,2,1,0,0,4,-0.1425971596567486,0,0,111.167434862847,52,4,0,5,0,2,1.0,1.0,0.0,-0.1462861662059442,0.8234946401708941,-0.8747050241506572,6.0,1.0,3.0,92.51827105552432,121.76753666645963,99.30412584881302
2024-02-18,CHONG_CHOM_CHECKPOINT,0,0,0,artillery,none,5,2,1,0,0,1,-0.0568151876243527,0,0,92.68410327411712,39,5,0,2,0,1,0.0,0.0,0.0,0.385022246828967,-1.4869039331317857,-1.8227274999167296,8.0,3.0,4.0,87.30799648726527,106.71772215458388,106.21688698372218
2024-02-18,ARANYAPRATHET_POIPET,0,0,0,none,none,2,0,1,0,0,1,0.8450399912178964,1,0,115.73543688862335,43,6,0,6,0,1,0.0,0.0,1.0,-0.5362638864418516,0.0801916265351272,-2.419498603907605,5.0,6.0,4.0,127.50315446389376,107.10437014994052,71.96419010505845
2024-02-18,PHANOM_DONG_RAK_RIDGE,0,0,0,none,local_news,2,2,2,0,1,3,-0.2437513864595762,0,0,85.43547085384847,48,15,0,1,0,0,0.0,0.0,0.0,0.4879627119355996,0.6027137307901973,0.8516177168229447,8.0,6.0,6.0,109.37023520522824,104.8416132741925,95.54985788199475
