date,segment_id,displaced_persons,civilian_casualties,aid_deliveries
2024-01-07,PREAH_VIHEAR_TEMPLE,1,1,1
2024-01-07,TA_MUEN_THOM_TEMPLE,3,0,1
2024-01-07,TA_KRABEY_TEMPLE,6,0,3
2024-01-07,OSMACH_CHECKPOINT,4,0,1
2024-01-07,CHONG_CHOM_CHECKPOINT,1,0,0
2024-01-07,ARANYAPRATHET_POIPET,1,0,0
2024-01-07,PHANOM_DONG_RAK_RIDGE,2,0,0
2024-01-07,BAN_KRUAT,2,0,1
2024-01-07,KANTHARALAK,5,0,0
2024-01-07,SAMRAONG,6,0,1
2024-01-14,PREAH_VIHEAR_TEMPLE,4,0,2
2024-01-14,TA_MUEN_THOM_TEMPLE,5,0,3
2024-01-14,TA_KRABEY_TEMPLE,4,0,0
2024-01-14,OSMACH_CHECKPOINT,2,0,0
2024-01-14,CHONG_CHOM_CHECKPOINT,3,0,3
2024-01-14,ARANYAPRATHET_POIPET,3,0,1
2024-01-14,PHANOM_DONG_RAK_RIDGE,2,0,1
2024-01-14,BAN_KRUAT,1,1,1
2024-01-14,KANTHARALAK,3,0,1
2024-01-14,SAMRAONG,3,1,3
2024-01-21,PREAH_VIHEAR_TEMPLE,5,0,0
2024-01-21,TA_MUEN_THOM_TEMPLE,1,2,0
2024-01-21,TA_KRABEY_TEMPLE,3,0,1
2024-01-21,OSMACH_CHECKPOINT,1,0,1
2024-01-21,CHONG_CHOM_CHECKPOINT,1,1,0
2024-01-21,ARANYAPRATHET_POIPET,4,2,1
2024-01-21,PHANOM_DONG_RAK_RIDGE,2,0,0
2024-01-21,BAN_KRUAT,2,0,2
2024-01-21,KANTHARALAK,2,0,2
2024-01-21,SAMRAONG,2,0,3
2024-01-28,PREAH_VIHEAR_TEMPLE,3,0,2
2024-01-28,TA_MUEN_THOM_TEMPLE,2,0,0
2024-01-28,TA_KRABEY_TEMPLE,0,0,1
2024-01-28,OSMACH_CHECKPOINT,2,0,2
